"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2018","193.73","199.01","202.77","192.02","78.80M","-2.88%"
"05/01/2018","191.53","193.76","202.41","188.62","85.91M","-1.14%"
"06/01/2018","186.65","192.90","196.74","184.75","96.47M","-2.55%"
"07/01/2018","197.87","186.09","201.40","185.72","79.85M","6.01%"
"08/01/2018","208.72","198.80","211.32","196.77","85.48M","5.48%"
"09/01/2018","214.11","209.21","223.00","208.04","81.81M","2.58%"
"10/01/2018","205.28","215.92","224.07","197.29","111.55M","-4.12%"
"11/01/2018","218.24","205.60","223.52","203.39","92.11M","6.31%"
"12/01/2018","204.18","221.98","223.59","186.10","123.64M","-6.44%"
"01/01/2019","205.54","201.73","208.01","191.04","99.69M","0.67%"
"02/01/2019","201.30","206.52","209.40","198.21","80.02M","-2.06%"
"03/01/2019","200.89","203.15","207.75","197.03","89.07M","-0.20%"
"04/01/2019","216.71","202.16","217.32","202.00","64.25M","7.87%"
"05/01/2019","197.42","217.22","219.16","197.07","88.80M","-8.90%"
"06/01/2019","213.17","197.62","213.33","196.89","72.13M","7.98%"
"07/01/2019","205.43","214.25","216.58","204.36","69.46M","-3.63%"
"08/01/2019","203.41","205.63","206.98","195.40","97.33M","-0.98%"
"09/01/2019","208.02","201.19","214.58","200.19","78.38M","2.27%"
"10/01/2019","212.58","208.94","213.71","201.33","78.11M","2.19%"
"11/01/2019","220.30","213.55","223.37","213.40","72.12M","3.63%"
"12/01/2019","226.50","220.60","228.23","216.40","80.50M","2.81%"
"01/01/2020","224.43","227.51","231.61","221.11","79.85M","-0.91%"
"02/01/2020","206.34","225.48","230.08","199.68","95.31M","-8.06%"
"03/01/2020","182.83","207.25","218.80","159.50","276.96M","-11.39%"
"04/01/2020","187.36","176.18","197.23","174.19","151.39M","2.48%"
"05/01/2020","185.58","185.21","187.28","167.04","144.08M","-0.95%"
"06/01/2020","178.51","185.53","203.33","174.63","172.24M","-3.81%"
"07/01/2020","195.78","178.41","196.67","177.34","126.05M","9.67%"
"08/01/2020","218.04","197.28","219.45","196.00","102.38M","11.37%"
"09/01/2020","212.94","216.92","223.24","206.58","115.36M","-2.34%"
"10/01/2020","201.90","214.30","217.43","197.81","91.64M","-5.18%"
"11/01/2020","228.91","204.84","234.99","203.06","104.48M","13.38%"
"12/01/2020","231.87","230.23","232.28","221.26","124.86M","1.29%"
"01/01/2021","227.87","231.73","236.24","226.10","103.35M","-1.73%"
"02/01/2021","240.51","229.97","250.56","228.04","86.18M","5.55%"
"03/01/2021","255.47","246.86","267.50","243.23","151.39M","6.22%"
"04/01/2021","274.95","255.74","277.79","254.80","85.04M","7.63%"
"05/01/2021","289.44","278.55","295.08","276.78","98.74M","5.27%"
"06/01/2021","277.92","291.52","293.27","272.45","109.24M","-3.98%"
"07/01/2021","278.29","278.20","282.22","270.73","80.62M","0.13%"
"08/01/2021","285.77","279.31","291.82","276.77","78.02M","2.69%"
"09/01/2021","272.94","286.59","287.14","271.36","105.01M","-4.49%"
"10/01/2021","287.01","273.02","292.22","272.22","74.98M","5.15%"
"11/01/2021","276.69","288.05","295.65","275.89","87.34M","-3.60%"
"12/01/2021","299.00","279.54","301.65","274.79","101.97M","8.06%"
"01/01/2022","313.02","300.10","324.40","294.81","109.52M","4.69%"
"02/01/2022","321.45","312.64","325.63","299.51","102.84M","2.69%"
"03/01/2022","352.91","320.26","362.10","313.59","129.50M","9.79%"
"04/01/2022","322.83","353.65","354.58","320.50","82.22M","-8.52%"
"05/01/2022","315.98","324.11","327.28","298.11","96.34M","-2.12%"
"06/01/2022","273.02","316.00","316.79","263.68","100.76M","-13.60%"
"07/01/2022","300.60","272.50","302.40","271.20","73.42M","10.10%"
"08/01/2022","280.80","299.70","308.15","280.44","84.01M","-6.59%"
"09/01/2022","267.02","279.95","289.24","261.55","92.14M","-4.91%"
"10/01/2022","295.09","269.52","299.98","259.85","84.98M","10.51%"
"11/01/2022","318.60","298.45","319.12","282.38","81.98M","7.97%"
"12/01/2022","308.90","319.00","319.56","297.00","79.52M","-3.04%"
"01/01/2023","311.52","310.07","321.32","303.86","66.96M","0.85%"
"02/01/2023","305.18","309.63","314.15","300.01","65.68M","-2.04%"
"03/01/2023","308.77","304.02","317.29","292.42","109.28M","1.18%"
"04/01/2023","328.55","309.25","328.81","307.07","55.12M","6.41%"
"05/01/2023","321.08","329.16","333.94","317.41","69.56M","-2.27%"
"06/01/2023","341.00","321.42","342.50","319.53","78.71M","6.20%"
"07/01/2023","351.96","340.75","352.33","338.41","55.74M","3.21%"
"08/01/2023","360.20","352.03","364.63","349.39","64.51M","2.34%"
"09/01/2023","350.30","362.00","373.34","348.55","70.95M","-2.75%"
"10/01/2023","341.33","349.64","350.00","330.58","64.95M","-2.56%"
"11/01/2023","360.00","341.21","363.19","340.58","66.63M","5.47%"
"12/01/2023","356.66","359.94","364.05","350.85","70.95M","-0.93%"
"01/01/2024","383.74","356.32","387.92","355.94","73.47M","7.59%"
"02/01/2024","409.40","384.00","430.00","381.48","72.80M","6.69%"
"03/01/2024","420.52","409.48","421.44","398.78","72.55M","2.72%"
"04/01/2024","396.73","421.49","424.52","395.66","63.89M","-5.66%"
"05/01/2024","414.40","396.61","417.33","396.35","68.08M","4.45%"
"06/01/2024","406.80","414.89","417.00","403.33","78.74M","-1.83%"
"07/01/2024","438.50","408.09","449.25","403.82","79.77M","7.79%"
"08/01/2024","475.92","439.67","476.95","406.11","86.49M","8.53%"
"09/01/2024","460.26","475.00","484.82","445.25","86.55M","-3.29%"
"10/01/2024","450.92","459.11","467.84","450.57","74.18M","-2.03%"
"11/01/2024","483.02","451.49","491.67","437.90","82.47M","7.12%"
"12/01/2024","453.28","484.80","485.09","446.09","86.54M","-6.16%"
"01/01/2025","468.67","455.96","474.93","440.10","82.54M","3.40%"
"02/01/2025","513.83","461.30","515.37","454.60","76.96M","9.64%"
"03/01/2025","532.58","516.22","537.63","488.75","108.22M","3.65%"
"04/01/2025","533.25","531.88","539.00","462.10","126.91M","0.13%"
"05/01/2025","503.96","531.00","542.07","500.18","112.38M","-5.49%"
"06/01/2025","485.77","501.70","503.23","481.72","95.97M","-3.61%"
"07/01/2025","471.88","485.78","491.09","467.65","96.61M","-2.86%"
"08/01/2025","502.98","473.47","506.72","455.18","104.55M","6.59%"
"09/01/2025","502.74","504.24","507.66","486.27","87.76M","-0.05%"
"10/01/2025","477.54","502.50","504.97","473.72","94.48M","-5.01%"
"11/01/2025","513.81","479.51","516.85","473.15","108.41M","7.60%"
"12/01/2025","502.65","513.65","514.49","488.92","96.02M","-2.17%"
"01/01/2026","480.53","500.96","504.08","471.91","97.38M","-4.40%"
"02/01/2026","504.95","481.30","512.13","478.55","89.24M","5.08%"
"03/01/2026","479.20","495.23","500.86","467.21","113.62M","-5.10%"
"04/01/2026","473.60","478.98","487.95","464.01","95.34M","-1.17%"
"05/01/2026","485.07","475.08","489.42","464.34","42.81M","2.42%"
