Date,BRKB,SPY,GLD,QQQ,Balanced
2023-08-01,64784.17663530793,38401.63195812617,39898.051536798004,54961.24321699663,53446.218378698104
2023-09-01,63003.59665585515,36530.72873947853,37998.67043593485,52170.16873412246,51126.38405600085
2023-10-01,61390.2870395108,35727.7946924131,40800.088806695545,51217.649058821684,51127.57093750071
2023-11-01,64748.20321578988,38913.973298274854,41832.89106122225,55896.06787037673,54448.28248323157
2023-12-01,64147.48443349617,40635.10841849668,42369.23818583071,58212.01038526967,55662.556213986536
2024-01-01,69017.98574922372,41281.032220170426,41766.40102158136,59378.8869931467,57000.43451915768
2024-02-01,73633.09444820197,43416.11365220619,41957.00399824585,62477.68673738056,59534.176985720755
2024-03-01,75633.09362488598,44762.82852636349,45593.97298108706,64320.984381511465,62058.04562701122
2024-04-01,71354.32048095924,42900.020206047615,46957.00357551786,61919.37004333815,60365.573269708875
2024-05-01,74532.37504842127,44960.130233852506,47717.2003875232,65051.234684710784,62764.37083807951
2024-06-01,73165.46743833327,46518.88901472172,47652.9254425349,67129.69219087141,63500.818233922975
2024-07-01,78866.90863923295,47045.544098528975,50210.5515103775,68161.7565615746,65974.91236740339
2024-08-01,85597.12706633443,48119.81531069321,51261.08128577282,69754.40107758789,68496.34224346624
2024-09-01,82780.57956779479,49091.68564298441,53869.68158521642,71001.78251607287,69401.2472333226
2024-10-01,81100.72406523791,48605.83783185678,56185.727062969636,70584.03501447289,69538.86272606236
2024-11-01,86874.10112762729,51391.01530761498,54430.40827829909,74793.19834822041,72164.43029329958
2024-12-01,81525.18187393028,50106.746792016966,53663.56618233594,72748.81985790964,69855.46975015862
2025-01-01,84293.17019601644,51460.44590784899,57304.96535448236,74954.0074992729,72644.39256279792
2025-02-01,92415.47323584998,50727.541466855066,58348.84646409598,74002.47109496576,74190.3316062838
2025-03-01,95787.77548667237,47808.44042902545,63860.82036115004,69669.53900689051,74647.68753983921
2025-04-01,95908.27601338876,47443.903779279666,67324.91050637148,69273.26151663381,75597.33395256473
2025-05-01,90640.28872044758,50362.8342668361,67287.23698815778,73626.73047259956,76565.66762602233
2025-06-01,87368.7054577479,52861.17530145021,67559.83904885527,77181.9530441829,77826.15167115376
2025-07-01,84870.50680450074,54006.495261562246,67145.3897666178,79193.00057579193,78138.81490981895
2025-08-01,90464.03323561944,55036.20709503696,70494.24088072163,80818.00434740738,81086.54434179785
2025-09-01,90420.86403444315,56980.28886016573,78783.2468164144,83465.37088258886,84862.57596351331
2025-10-01,85888.49310260177,58272.99337464186,81586.88028182767,85691.88200863755,85773.15358052897
2025-11-01,92411.87260063425,58348.72601545789,85966.31517398173,85858.98409404929,88468.81964662172
2025-12-01,90404.67764229198,58318.143439643354,87834.66465876509,85674.29880969263,88409.94903369123
2026-01-01,86426.26114512549,59114.941836637176,98614.81000448346,87193.83423535594,90924.7317296605
2026-02-01,90818.35001165679,58602.51314147052,107214.09828273518,86440.30932934266,93799.96271482823
2026-03-01,86187.05492052737,55617.729449654034,95365.6956407529,81948.12589994601,87354.64174981276
2026-04-01,85179.85955052711,61414.95370236045,93896.27963016712,90804.30506888729,91214.33334209991
2026-05-01,87223.02243961423,63050.214680156365,95950.79852048587,93270.7034696645,93487.10243140216
